OW_events;label
[57 60];0
[];1
[14  5  8 17];0
[38 35 38];0
[];0
[47];0
[];0
[];0
[];0
[27 31];1
[43 40];0
[57 60];0
[31];0
[ 27  32 125  57];0
[60 35 38 57 35 38 60];1
[57 60];1
[40 43];0
[];0
[];0
[];1
[ 57  60  37 122];1
[57];0
[40];0
[];0
[];0
[35 38 35 38];1
[57 60];0
[34 69];0
[38 35 38];1
[57 60];0
[38];1
[27 31];1
[];1
[57 60];0
[38];1
[57 60];1
[57 60];0
[57 60 57 60];0
[43 40];0
[69];0
[40];0
[43 40];0
[57 60 57];0
[27];1
[57 60];0
[31];1
[57 60 57];0
[64 61];0
[57 60 57 60];0
[57 38 60];1
[35];0
[57 60];0
[35 38 35];0
[38 34 31 57 35 60 57];1
[27 30];0
[36 28];1
[31];0
[];1
[57 60 38 57 60];1
[57 60];0
[ 27 125];1
[57 60];0
[57 60];0
[38];1
[57 60];0
[57 60];0
[61 64];0
[35];1
[];0
[37 32 38 35];1
[57 60];0
[57 60 57 60];0
[38 61 35 64 38 34 61];1
[27];1
[60 35 38 35 38];1
[38 35 69];0
[57 60];0
[];0
[];0
[60];0
[ 43  60 122];0
[];1
[43 40];0
[];1
[35 38 34];0
[18 40 21];0
[57 60];0
[35 57 38 60 57 60 35];1
[57];0
[38];1
[60 57 60];0
[38];0
[38];1
[38 35 57];1
[38 35 57 60];1
[31];0
[];1
[];0
[31];1
[30 27 30 27 31];0
[122 125];0
[220 217 220 217];0
[];0
[31 35 38 34];0
[64 61 64 61 64];0
[57 60];0
[38];1
[];1
[35 38 35 38];0
[57 60];0
[57 60 57];0
[69];0
[57 60];0
[30];0
[217 220];0
[];0
[35];1
[57 60 57];0
[27];0
[];1
[31 34 31 40];0
[];0
[33 28 34 30];1
[57 60 38];1
[ 5 14];0
[40];0
[57 60];0
[69];0
[ 57  60  57 122  60  57];0
[64 61 47 64 44 61];0
[118 121];0
[];0
[57 60];0
[122];0
[34];1
[57 60 57 60];0
[57 60];0
[118];0
[57 60 57];0
[57];0
[118 121];0
[57];0
[ 21 217];0
[35 38];1
[66];0
[57 60 57];0
[];0
[57 60];0
[69 27 31];0
[34];1
[220];0
[57 60];0
[];1
[34 31];0
[57 60];0
[57 60];0
[44 61 64];0
[69];0
[61 64 61 31 64];1
[];0
[60 57 60];0
[38 57 60 35];1
[57];0
[57 60 57 60];0
[];0
[];0
[35 38];1
[57 60];0
[ 5 14];0
[57 60 57];0
[31];0
[31];0
[118 121];0
[];0
[57 60];0
[57 60];0
[60 57 60];0
[57 60];1
[ 47 118  17  27  32  37  14  30];1
[27];1
[40];0
[];0
[121  43  40];0
[43];0
[57 60];0
[30];0
[57 60];0
[60];0
[57 60 57 60];0
[43 40];0
[60];0
[57 60];0
[ 57  60  57  27  60  31 125  35];1
[40];0
[57 60];0
[57 60 57 60];0
[43 40];0
[40 43];0
[57];0
[];0
[57 60];0
[34];0
[121];0
[60];0
[57 60];0
[];0
[57 60];0
[];1
[31 35  8 17];1
[30];0
[30 27];0
[31 34];0
[121];0
[121];0
[];1
[ 37 122];1
[57 60];0
[57];0
[57 60];0
[57 60];0
[38 35];1
[69];0
[69];0
[125 122];0
[121 118 121 118];0
[];0
[];0
[ 35  18   8  20  38 122];1
[31 34 31];1
[];1
[];1
[57 60];0
[64 61 64 61];0
[57 60];0
[];1
[60];0
[35 38 35];1
[30 27];1
[57 60];0
[57 60];0
[57 60 57];0
[ 27 125];0
[118 121 118];0
[];1
[57 60];0
[57 60 57 60];0
[57 60 34 31 57];0
[ 21 118];0
[40];0
[57 60 57];0
[31 35 61 64];0
[];1
[];1
[];0
[57 60];0
[220 125 217  38];0
[ 37  30 122  27 125];1
[34];0
[60 57 60 57 60];0
[31 35];0
[60 57 60 57 60];0
[ 57 217  60 220];0
[];0
[57 60];0
[118];0
[57 60 57 60];0
[61 64];0
[38 35];1
[];0
[27 30 27 30];0
[31 34 31 34 31];1
[37 31];0
[66];0
[57 60];0
[];0
[121];0
[];0
[38 35 36 27];1
[57 60];0
[];0
[];1
[27];1
[33 28 33 27 31];1
[31];1
[27 57];0
[40];0
[57 60 57 27 60];1
[60 57 60];0
[];0
[125  57  60];0
[];0
[57 60 38 57 35 60];1
[60];0
[57];0
[118 121];0
[69];0
[57];0
[38];1
[38 34];1
[18 21];0
[38];1
[121];0
[64 47 61 44 64 61];0
[60 57 60];0
[43 40];0
[57 60];0
[69];0
[57 60 57];0
[40 43];0
[118];0
[60];0
[57 60];0
[69 38 35];0
[35 38 35 38];1
[57 60 57 60];0
[30 27 30 27];0
[60];0
[43 40];0
[61];0
[34 18 30 21];0
[57 60];0
[57 60 57 60];0
[];0
[43];0
[57 60 57 60 38];1
[57 60];0
[30];0
[37];1
[57];0
[220 217];0
[];1
[60 57 60 57];0
[12];0
[57 60];0
[57 60];0
[];0
[35 38 35 38];1
[43];0
[40 43];0
[64];0
[69];0
[ 27  31  35 125];0
[ 37  30 122];1
[35 38 35 57];1
[57 60 57 60];0
[69 34];0
[57 60];0
[43 40 43 40];0
[ 27 125  31];1
[57 60];0
[118 121];0
[121 118];0
[27];1
[];0
[57 60];0
[34];0
[38 34];1
[27 30];0
[121 118];0
[];0
[31 35];1
[40];0
[];0
