OW_events;label
[57];0
[31 34 31];0
[57];0
[27 30];0
[220];0
[57];0
[51];1
[27];0
[60 57 60];0
[57 60];0
[43 40];0
[];0
[69];0
[38 35];0
[121];0
[43];0
[12 25 44 61 64 61];0
[64 61 64 61];0
[43 40];0
[40];0
[40];0
[57];0
[57 60];0
[57 60];0
[57 60 57 60];0
[];0
[];0
[43];0
[57 60];0
[51];0
[57 60 57 60];0
[57 60 57 60];0
[57 60];0
[57];0
[43];0
[27 30 27];0
[60];0
[];0
[];0
[57 60];0
[27];0
[];0
[57 60];0
[60];0
[57];0
[ 31  34  30 122];0
[];0
[  8 122];0
[217 220];0
[57 60];0
[27 30 27];0
[57 60];0
[57 60];0
[37 30];0
[57 60 57 60];0
[57];0
[40 43 40 43 40];0
[60 57 60];0
[118 121];0
[40];0
[57 60];0
[64 61];0
[34 31];0
[57 60];0
[43 40 43 40];0
[43 40];0
[57 60];0
[];0
[125 122 125];0
[57];0
[ 60 217 220 217];0
[118];0
[57 60];0
[];0
[204 207  57  66  60];0
[57];0
[ 8 17 14];0
[];0
[57 60];0
[57];0
[64 61 64];0
[60];0
[43];0
[];0
[27 30];0
[34 31 35];0
[118];0
[66];0
[57 60];0
[57 60];0
[57 60];0
[60 57];0
[57 60];0
[];0
[64 18 21 61];0
[];0
[118 121];0
[118 121];0
[57 60];0
[57];0
[];0
[57 60];0
[43 40];0
[57 60];0
[57 60];0
[43];0
[30 27 57 60];0
[57];0
[43];0
[57 60];0
[51];1
[96];0
[60];0
[57 60];0
[57 60 57];0
[57 60];0
[27];0
[60];0
[118];0
[43 40];0
[];0
[34 31 34];0
[];0
[57];0
[61 64 61];0
[204 207 204];0
[69];0
[51];1
[57 60];0
[57 60];0
[69];0
[57 60 57 60];0
[40];0
[57 60];0
[31];0
[38 33];0
[57 60];0
[57 60 57];0
[57 60];0
[57 60 57 60];0
[];0
[57 60 57];0
[];0
[69];0
[57 60];0
[57];0
[38 33 57 27 60 32];0
[38];0
[31 34 30];0
[57 60];0
[];0
[];0
[43 40];0
[57];0
[57 60];0
[27];0
[43 40];0
[57 60 57];0
[38 35];0
[69];0
[57 60 57];0
[57 60];0
[61];0
[57 60];0
[];0
[];0
[57 60];0
[60 57];0
[60];0
[14 34  8 17  5 14];0
[57 60 57 60];0
[60];0
[51];1
[38 35];0
[57 60];0
[];0
[60];0
[57];0
[57 60];0
[69];0
[118  40 121  43  40];0
[48];1
[34];0
[];0
[61];0
[57 60];0
[57 60];0
[60];0
[57 60 57 60];0
[];0
[57 60 57];0
[ 57 220  60];0
[40 43];0
[31 34 31];0
[28 33];0
[57];0
[57 60];0
[57 60];0
[ 40 121];0
[60];0
[60 57];0
[66];0
[121];0
[66];0
[38];0
[];0
[57 60];0
[60 57 60];0
[];1
[57 60 57 60];0
[57 60];0
[220 217 220 217  57 220  60 217];0
[57 60];0
[57 60];0
[57 60];0
[ 64 118 121  61];0
[64 61 64 61];0
[57];0
[30];0
[57 60];0
[57];0
[30 27];0
[34];0
[35];0
[57 60];0
[43];0
[60 57 60];0
[35];0
[31 60 34 31];0
[207 204];0
[60];0
[57 60];0
[61 64];0
[57 60];0
[34];0
[43];0
[61 64 61 64];0
[38 33];0
[60];0
[34 31];0
[43 40];0
[118];0
[64 61 64 61 64];0
[60 57];0
[66];0
[57 60];0
[121  43 118];0
[60 57];0
[47 64];0
[57];0
[57];0
[60 57 60];0
[38 35];0
[60];0
[34 43 31 34 31 40];0
[125];0
[ 18 125];0
[60];0
[57];0
[43 40];0
[];0
[];0
[57 34 60 31];0
[100  90 116];0
[27 30];0
[57];0
[57 60];0
[];0
[ 5 14 33  8 17 27  5 14 30 28 17 35];0
[60 57 60];0
