OW_events;label
[57 60];0
[57 60];0
[60 27];0
[];0
[35];0
[57 60];0
[43 40];0
[57];0
[43 40];0
[43 40 43];0
[57 60];0
[57 60];0
[69];0
[57 60 57];0
[60 57];0
[40 43];0
[57];0
[66];0
[60];0
[40 43 40];0
[43 40];0
[61 27];0
[57 60 57 60];0
[31 34 31];0
[66];0
[27 43 31];0
[57 60];0
[57 60 57 60];0
[35];0
[69];0
[57 60];0
[34];0
[57 60];0
[61];0
[];0
[34];0
[60];0
[61 64];0
[57 60 57 60];0
[57];0
[43];0
[];0
[57 60];0
[57 60];0
[60];0
[43 40 43];0
[57 60];0
[57 60 57 60];0
[35];0
[57 60];0
[57 60];0
[57 60];0
[57 60];0
[21];0
[27];0
[43];0
[];0
[31];0
[64 47 44];0
[30 27 31 34];0
[118 121];0
[57 60];0
[57 60];0
[60];0
[57 60];0
[57 60];0
[60];0
[57 60];0
[57 60];0
[112 108];0
[57 60];0
[57 60];0
[60];0
[18 21];0
[121];0
[57 60 57];0
[57 60];0
[34 31 34];0
[61 64];0
[60 57 60 57];0
[57 60];0
[57];0
[57 60 57 60];0
[60 57 60 57 60];0
[57 60];0
[57];0
[30];0
[60];0
[60];0
[57 60 57];0
[121 118];0
[43 40];0
[44];0
[60];0
[ 7 56];0
[57 60 57 60];0
[57 60];0
[57 60];0
[57];0
[  8 122   5];0
[57 60 57 60];0
[57 60];0
[];0
[57 60 38];0
[57];0
[];0
[];0
[57 60];0
[57 60 57];0
[57 60 57 60];0
[40];0
[43 40 43];0
[27];0
[60];0
[118];0
[69];0
[];0
[];0
[43 40];0
[57 60 57 60];0
[];0
[60];0
[35 60];0
[57 60];0
[37 30 57];0
[60 57 60 57 60];0
[];0
[57 60];0
[ 28  69 125  35  66];0
[220 217 220 217];0
[30 27 31];0
[57 60];0
[43 40 43];0
[121 118];0
[57];0
[];0
[60];0
[57 60];0
[60 57 60];0
[57 60];0
[69];0
[57 60 57 60];0
[60];0
[18 66];0
[57 60 57];0
[60];0
[ 57  60 122];0
[57 60];0
[57 60];0
[57 60];0
[43 40];0
[];0
[27];0
[60 57 60];0
[];0
