549139,27,-1,549079,316064,241160,241160
599079,27,-1,599071,316064,241160,241160
649079,27,-1,649071,316064,241160,241160
799080,4,-1,799071,0,0,0
799194,5,-1,799071,241160,241160,0
799315,6,-1,799071,2,0,0
799463,7,-1,799071,241116,241116,0
799609,8,-1,799071,0,0,0
799734,9,-1,799071,1,0,0
799868,11,-1,799071,1,1,0
799949,12,-1,799071,0,0,0
800070,13,-1,799071,1,0,0
800204,16,0,799071,1399071,1410071,609884
800329,17,0,799071,0,0,0
800500,20,0,799071,241080,241080,0
899076,4,-1,899071,0,0,0
899186,5,-1,899071,241080,241080,0
899283,6,-1,899071,2,0,0
899387,7,-1,899071,241036,241036,0
899494,8,-1,899071,0,0,0
899575,9,-1,899071,1,0,0
899667,11,-1,899071,1,1,0
899743,12,-1,899071,0,0,0
999072,4,-1,999071,0,0,0
999186,5,-1,999071,241000,241000,0
999275,6,-1,999071,0,0,0
1099072,4,-1,1099071,0,0,0
1099185,5,-1,1099071,241000,241000,0
1099276,6,-1,1099071,1,0,0
1099383,7,-1,1099071,240956,240956,0
1099493,8,-1,1099071,0,0,0
1099572,9,-1,1099071,1,0,0
1099666,11,-1,1099071,1,2,0
1099745,12,-1,1099071,0,0,0
1199072,4,-1,1199071,0,0,0
1199185,5,-1,1199071,240920,240920,0
1199276,6,-1,1199071,2,0,0
1199383,7,-1,1199071,240876,240876,0
1199493,8,-1,1199071,0,0,0
1199572,9,-1,1199071,1,0,0
1199666,11,-1,1199071,1,3,0
1199745,12,-1,1199071,0,0,0
1299072,4,-1,1299071,0,0,0
1299185,5,-1,1299071,240840,240840,0
1299276,6,-1,1299071,1,0,0
1299383,7,-1,1299071,240796,240796,0
1299493,8,-1,1299071,0,0,0
1299572,9,-1,1299071,1,0,0
1299666,11,-1,1299071,1,4,0
1299746,12,-1,1299071,0,0,0
1399072,4,-1,1399071,0,0,0
1399185,5,-1,1399071,240760,240760,0
1399292,6,-1,1399071,3,0,0
1399403,7,-1,1399071,240716,240716,0
1399512,8,-1,1399071,0,0,0
1399592,9,-1,1399071,1,0,0
1399686,11,-1,1399071,1,5,0
1399765,12,-1,1399071,0,0,0
1399946,15,0,799071,0,0,0
1400167,18,0,799071,0,0,0
1400871,19,0,799071,0,0,0
1401067,24,0,799071,0,0,0
1401153,1,0,799071,2166136261,0,0
1401255,21,0,799071,240680,240680,0
1401351,25,0,799071,240680,240680,0
1401446,14,-1,799071,0,0,0
1401539,13,-1,899071,1,0,0
1401647,16,0,899071,1499071,1510071,108425
1401761,17,0,899071,0,0,0
1401846,20,0,899071,240700,240680,0
1499080,4,-1,1499075,0,0,0
1499205,5,-1,1499075,240700,240680,0
1499316,6,-1,1499075,1,0,0
1499426,7,-1,1499075,240652,240652,0
