parent_variant,model_id,runtime_model_name,prediction_name,platform,quality_score,precision,recall,tp,tn,fp,fn,positive_support,total_support,itmax_ms,effective_time_ms,cycle_mgmt_latency_max_ms,management_overhead_ms,exec_time_ms,arena_bytes,model_size_bytes,edge_capable,edge_run_completed,feasible_after_filters,selected,evaluation_dataset_csv,input_dataset_csv
v700,Battery_Active_Power_any-to-80_100-cnn1d-v500__esp32,Battery_Active_Power_any-to-80_100-cnn1d-v500,Battery_Active_Power_any-to-80_100,esp32,0.029931972789115645,0.016296296296296295,0.18333333333333332,11,17089,664,49,60,17813,28.455,34.0,0.893,5.0,34.0,120840,80560,True,True,True,True,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v700/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v700/07_input_dataset.csv
v701,Battery_Active_Power_Set_Response_any-to-80_100-cnn1d-v501__esp32,Battery_Active_Power_Set_Response_any-to-80_100-cnn1d-v501,Battery_Active_Power_Set_Response_any-to-80_100,esp32,0.0,,0.0,0,17738,0,39,39,17777,18.644,24.0,0.889,5.0,24.0,90816,60544,True,True,False,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v701/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v701/07_input_dataset.csv
v702,PVPCS_Active_Power_any-to-80_100-cnn1d-v502__esp32,PVPCS_Active_Power_any-to-80_100-cnn1d-v502,PVPCS_Active_Power_any-to-80_100,esp32,0.3981231520761024,0.28272777067737814,0.6726759339704604,3097,10046,7857,1507,4604,22507,16.205,22.0,0.937,5.0,22.0,75900,50600,True,True,True,True,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v702/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v702/07_input_dataset.csv
v703,GE_Active_Power_any-to-80_100-cnn1d-v503__esp32,GE_Active_Power_any-to-80_100-cnn1d-v503,GE_Active_Power_any-to-80_100,esp32,0.012517172950694551,0.3504273504273504,0.00637239664283494,41,17243,76,6393,6434,23753,20.048,26.0,0.885,5.0,26.0,90816,60544,True,True,False,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v703/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v703/07_input_dataset.csv
v704,GE_Body_Active_Power_any-to-80_100-cnn1d-v504__esp32,GE_Body_Active_Power_any-to-80_100-cnn1d-v504,GE_Body_Active_Power_any-to-80_100,esp32,0.0035339591385974605,0.0018494971679574616,0.039603960396039604,16,9057,8635,388,404,18096,19.434,25.0,0.904,5.0,25.0,90816,60544,True,True,False,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v704/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v704/07_input_dataset.csv
v706,FC_Active_Power_FC_END_Set_any-to-80_100-cnn1d-v506__esp32,FC_Active_Power_FC_END_Set_any-to-80_100-cnn1d-v506,FC_Active_Power_FC_END_Set_any-to-80_100,esp32,0.0,,0.0,0,17732,0,2,2,17734,18.426,24.0,0.885,5.0,24.0,90816,60544,True,True,False,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v706/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v706/07_input_dataset.csv
v707,FC_Active_Power_any-to-80_100-cnn1d-v507__esp32,FC_Active_Power_any-to-80_100-cnn1d-v507,FC_Active_Power_any-to-80_100,esp32,0.006734006734006734,0.004405286343612335,0.014285714285714285,1,17569,226,69,70,17865,18.943,24.0,0.869,5.0,24.0,90816,60544,True,True,False,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v707/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v707/07_input_dataset.csv
