OW_events;label
[40];0
[57 60];0
[ 21 118  44  18 121];0
[57 60];0
[61 64];1
[];0
[57 60];0
[60];0
[47 44 61];1
[64 61 64 61];1
[34 31 35];0
[];0
[61 64];1
[ 40 192 185];0
[];0
[ 44  61  64  61  64  47 118];1
[];0
[57 60];0
[121];0
[118 121];0
[];0
[57 60];0
[44 61 64];0
[61 64 61 64];1
[60 57];0
[34];0
[60 57];0
[ 8 17  5 14];0
[66 69];0
[61 64];1
[69];0
[30];0
[];0
[57 60];0
[57 60 57 60];0
[64 61];1
[61 64 47 44 61 64];1
[];1
[];0
[61 27 64];1
[57 60];0
[57 60];0
[61];1
[35 38];0
[57 60];0
[57 60];0
[57 60];0
[];0
[61 64 47];1
[57 60 57 60];0
[57 60 57 60];0
[60 57 60];0
[60];0
[64 61];1
[ 57  60  57 122  60  57];0
[29 38];0
[61 64 61];1
[57];0
[57 60 57 60];0
[57 60];0
[61 64];1
[61 64 61 64];1
[57 60];0
[];0
[57 60 57 60];0
[57 60];0
[ 27 217  31 220 217];0
[57 60 35];0
[60 57 60 57];0
[60 57 60];0
[57 60];0
[61 64 61];1
[ 34 122];0
[43 40];0
[34 57 60];0
[57];0
[];0
[ 57  60 217 220 217 220];0
[57 60];0
[64 61 64];1
[61 64 61];1
[47 64 44 61 64 61];1
[64 61 64];1
[57 60];0
[60 57 60];0
[64 61 47 44];1
[64 61 64 61];1
[57 60];0
[61 64];1
[61];1
[64 61 64];1
[121 118];0
[ 34 122];0
[60 30];0
[57 60];0
[61 64];1
[61 64 61];1
[38];0
[57 60];0
[204 207];0
[61 64];1
[66];0
[60];0
[57 60];0
[64 61];1
[66];0
[64 61 64 61];1
[57 60];0
[57 60 57];0
[61 64 61];1
[];0
[57 60 57 60];0
[57 60];0
[];0
[57 60];0
[57 60];0
[40 43];0
[];0
[];0
[];0
[57 60];0
[57 60];0
[61 64];1
[43];0
[64 61 64];1
[57 60 57 60];0
[64 61 64];1
[60 57];0
[61];1
[40 43];0
[57 60];0
[38];0
[121 118];0
[60 57 60];0
[61 34 64];1
[38];0
[47 64 61 44 64 61 64];1
[60 57 60];0
[30 64 61];1
[57 60 57 60];0
[];1
[57 60];0
[57 60];0
[57 60];0
[64 61];1
[60];0
[ 61  64 118];1
[];0
[];0
[64 61 64];1
[43];0
[31];0
[64];1
[40];0
[66];0
[64 47 61];1
[57];0
[43];0
[61 64 47 44];0
[34];0
[57 60 57 60];0
[57 60];0
[];0
[57 60 57];0
[60];0
[64 34 61 31 34 31 64];1
[43 40];0
[60];0
[61 64];1
[43 40];0
[118 121 118 121];0
[43];0
[64 61];1
[];0
[34 31 66];0
[32 61 64 61 64];1
[57 60 57];0
[57 60 57 60];0
[69];0
[57 60];0
[57 60];0
[61 64];1
[60 57 60];0
[57 60];0
[61 64];1
[57 60 57 60];0
[30 61 64];1
[61 64];1
[64 61 64 61];1
[64 61 64];1
[44 61 64];1
[220 217 220 217];0
[57 60 57];0
[40 43];0
[60 57];0
[44 61 31];1
[34 40 43];0
[61];0
[57 60];0
[64 61 64 61];1
[40 43];0
[64 61 64];1
[];0
[57 60];0
[];0
[34 64 61 64 61 64];1
[43];0
[27 64 30 61 64 61];1
[];0
[27];0
[];0
[];0
[];0
[];0
[60 57 60];0
[61 64];1
[64 47 44 61];1
[60];0
[61 64];1
[];0
[40 43];0
[];1
[38 35 38 35 38];0
[57 60];0
[57];0
[];0
[];0
[57 60];0
[];1
[31 35];0
[64 61];1
[31];0
[64 61 64 61];1
[ 18 121];0
[61 64 47];1
[34];0
[43 40];0
[57 60 57 60];0
[57 60];0
[];0
[64 61 64];1
[61 37 64 30 47 61];1
[57 60];0
[61 64];1
[61 64];1
[57];0
[60];0
[43 40];0
[109 113];0
[57 60];0
[57 60];0
[38];1
[61];1
[60 57 60];0
[31];0
[66 69];0
[57 60];0
[];0
[57 60];0
[69];0
[];0
[57 60];0
[47 44 61];0
[47];1
[61 64 61 64];1
[66];0
[35];0
[61];1
[57 60 57 60];0
[61];1
[ 35 118  60];0
[];0
[];1
[38 61 34 64 61 31 64];1
[36];0
[60 57 60];0
[43 40];0
[57 60];0
[61 38 64 61 64];1
[57 60];0
[];0
[64 61 64 61];1
[118 121];0
[47 61 64 44 61 64];1
[57 60];0
[118 121];0
[ 27 125 122];0
[38 35];0
[57 60];0
[57 60];0
[38];0
[43 40];0
[60 57 60];0
[57 60 57 60];0
[61 47 64];1
[64 61];1
[];0
[57 60];0
[40];0
[27];0
[122 125 122];0
[57 60];0
[57 60];0
[60 57 60];0
[40];0
[60];0
[61 64];1
[125  30 122  27 125  30 122 125];0
[61 64];1
[61 64];1
[64];0
[60];0
[57 60];0
[];0
[57 60];0
[61 64];1
[  5  14 112];0
[64];1
[61 64];1
[57 60];0
[57 60];0
[57];0
[61 64 61 64];1
[57 60];0
[64];1
[35 64 38];1
[69];0
[57];0
[57 60];0
[40 43 40 43];0
[61 64];1
[61];1
[60];0
[57 60];0
[31 34];0
[64 61 64];1
[27 30 57 60];0
[60];0
[57];0
[61 64];1
[];0
[57 60];0
[118];0
[27];0
[57 60 57];0
[64 61];1
[57 60 57 60];0
[];0
[];0
[61 64 61];1
[61 64];1
[64 61];0
[ 57  60 207];0
[30];0
