parent_variant,model_id,runtime_model_name,prediction_name,platform,quality_score,precision,recall,tp,tn,fp,fn,positive_support,total_support,itmax_ms,effective_time_ms,cycle_mgmt_latency_max_ms,management_overhead_ms,exec_time_ms,arena_bytes,model_size_bytes,edge_capable,edge_run_completed,feasible_after_filters,selected,evaluation_dataset_csv,input_dataset_csv
v710,Battery_Active_Power_any-to-80_100-cnn1d-v510__esp32,Battery_Active_Power_any-to-80_100-cnn1d-v510,Battery_Active_Power_any-to-80_100,esp32,0.029931972789115645,0.016296296296296295,0.18333333333333332,11,17089,664,49,60,17813,28.454,34.0,0.892,5.0,34.0,120840,80560,True,True,True,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v710/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v710/07_input_dataset.csv
v711,Battery_Active_Power_Set_Response_any-to-80_100-cnn1d-v511__esp32,Battery_Active_Power_Set_Response_any-to-80_100-cnn1d-v511,Battery_Active_Power_Set_Response_any-to-80_100,esp32,0.0,,0.0,0,17739,0,39,39,17778,18.644,24.0,0.889,5.0,24.0,90816,60544,True,True,True,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v711/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v711/07_input_dataset.csv
v712,PVPCS_Active_Power_any-to-80_100-cnn1d-v512__esp32,PVPCS_Active_Power_any-to-80_100-cnn1d-v512,PVPCS_Active_Power_any-to-80_100,esp32,0.39802018384007204,0.28263647982472156,0.6726048229415599,3096,10046,7858,1507,4603,22507,16.205,22.0,0.947,5.0,22.0,75900,50600,True,True,True,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v712/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v712/07_input_dataset.csv
v713,GE_Active_Power_any-to-80_100-cnn1d-v513__esp32,GE_Active_Power_any-to-80_100-cnn1d-v513,GE_Active_Power_any-to-80_100,esp32,0.012513352662902488,0.3504273504273504,0.00637041640770665,41,17242,76,6395,6436,23754,20.048,26.0,0.887,5.0,26.0,90816,60544,True,True,True,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v713/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v713/07_input_dataset.csv
v714,GE_Body_Active_Power_any-to-80_100-cnn1d-v514__esp32,GE_Body_Active_Power_any-to-80_100-cnn1d-v514,GE_Body_Active_Power_any-to-80_100,esp32,0.0035339591385974605,0.0018494971679574616,0.039603960396039604,16,9059,8635,388,404,18098,19.434,25.0,0.905,5.0,25.0,90816,60544,True,True,True,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v714/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v714/07_input_dataset.csv
v716,FC_Active_Power_FC_END_Set_any-to-80_100-cnn1d-v516__esp32,FC_Active_Power_FC_END_Set_any-to-80_100-cnn1d-v516,FC_Active_Power_FC_END_Set_any-to-80_100,esp32,0.0,,0.0,0,17732,0,2,2,17734,18.427,24.0,0.884,5.0,24.0,90816,60544,True,True,True,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v716/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v716/07_input_dataset.csv
v717,FC_Active_Power_any-to-80_100-cnn1d-v517__esp32,FC_Active_Power_any-to-80_100-cnn1d-v517,FC_Active_Power_any-to-80_100,esp32,0.006734006734006734,0.004405286343612335,0.014285714285714285,1,17569,226,69,70,17865,18.943,24.0,0.869,5.0,24.0,90816,60544,True,True,True,False,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v717/07_evaluation_dataset.csv,/Users/juancarlosduenaslopez/Documents/mlops/MLOps4OFP-FGCS/executions/f07_modval/v717/07_input_dataset.csv
