model_id,model_name,n_attempts,n_ok,n_fail,n_offload,n_wd_late,ok_rate,offload_rate,wd_late_rate,fail_rate
0,PVPCS_Active_Power_any-to-80_100-cnn1d-v512,3679,3679,0.0,0,0,1.0,0.0,0.0,0.0
1,GE_Active_Power_any-to-80_100-cnn1d-v513,3679,3678,1.0,0,0,0.9997281870073389,0.0,0.0,0.0002718129926610492
