2149227,6,-1,2149034,1,0,0
2149334,7,-1,2149034,240588,240484,0
2149431,8,-1,2149034,0,0,0
2149498,9,-1,2149034,1,0,0
2149582,11,-1,2149034,1,1,0
2149650,12,-1,2149034,0,0,0
2149738,13,-1,2149034,1,0,0
2149818,16,0,2149034,2749034,3749034,1599217
2149920,17,0,2149034,0,0,0
2149992,20,0,2149034,240536,240484,0
2249035,4,-1,2249034,0,0,0
2249136,5,-1,2249034,240536,240484,0
2249215,6,-1,2249034,1,0,0
2249319,7,-1,2249034,240528,240484,0
2249417,8,-1,2249034,0,0,0
2249485,2,0,2249,0,0,0
2249547,9,-1,2249034,0,1,0
2249614,12,-1,2249034,0,0,0
2349035,4,-1,2349034,0,0,0
2349136,5,-1,2349034,240528,240484,0
2349215,6,-1,2349034,1,0,0
2349319,7,-1,2349034,240528,240484,0
2349417,8,-1,2349034,0,0,0
2349485,2,0,2349,0,0,0
2349547,9,-1,2349034,0,1,0
2349614,12,-1,2349034,0,0,0
2449035,4,-1,2449034,0,0,0
2449136,5,-1,2449034,240528,240484,0
2449215,6,-1,2449034,1,0,0
2449319,7,-1,2449034,240528,240484,0
2449417,8,-1,2449034,0,0,0
2449485,2,0,2449,0,0,0
2449547,9,-1,2449034,0,1,0
2449614,12,-1,2449034,0,0,0
2549035,4,-1,2549034,0,0,0
2549136,5,-1,2549034,240528,240484,0
2549215,6,-1,2549034,1,0,0
2549319,7,-1,2549034,240528,240484,0
2549417,8,-1,2549034,0,0,0
2549485,2,0,2549,0,0,0
2549547,9,-1,2549034,0,1,0
2549614,12,-1,2549034,0,0,0
2649035,4,-1,2649034,0,0,0
2649136,5,-1,2649034,240528,240484,0
2649215,6,-1,2649034,1,0,0
2649319,7,-1,2649034,240528,240484,0
2649417,8,-1,2649034,0,0,0
2649485,2,0,2649,0,0,0
2649547,9,-1,2649034,0,1,0
2649614,12,-1,2649034,0,0,0
2749035,4,-1,2749034,0,0,0
2749147,5,-1,2749034,240528,240484,0
2749226,6,-1,2749034,1,0,0
2749331,7,-1,2749034,240528,240484,0
2749430,8,-1,2749034,0,0,0
2749497,2,0,2749,0,0,0
2749559,9,-1,2749034,0,1,0
2749626,12,-1,2749034,0,0,0
2749744,15,0,2149034,0,0,0
2749893,18,0,2149034,0,0,0
2753530,19,0,2149034,0,0,0
2754099,24,0,2149034,0,0,0
2754171,1,0,2149034,84696351,0,0
2754252,21,0,2149034,240528,240484,0
2754337,25,0,2149034,240528,240484,0
2754417,14,-1,2149034,0,0,0
2849035,4,-1,2849034,0,0,0
2849136,5,-1,2849034,240580,240484,0
2849227,6,-1,2849034,1,0,0
2849334,7,-1,2849034,240572,240484,0
2849440,8,-1,2849034,0,0,0
2849508,2,0,2849,0,0,0
2849570,9,-1,2849034,0,1,0
2849637,12,-1,2849034,0,0,0
2949035,4,-1,2949034,0,0,0
2949136,5,-1,2949034,240572,240484,0
2949227,6,-1,2949034,1,0,0
2949335,7,-1,2949034,240572,240484,0
2949433,8,-1,2949034,0,0,0
2949500,2,0,2949,0,0,0
2949562,9,-1,2949034,0,1,0
2949630,12,-1,2949034,0,0,0
3049035,4,-1,3049034,0,0,0
3049140,5,-1,3049034,240572,240484,0
3049223,6,-1,3049034,1,0,0
3049327,7,-1,3049034,240572,240484,0
3049425,8,-1,3049034,0,0,0
3049493,2,0,3049,0,0,0
3049555,9,-1,3049034,0,1,0
3049622,12,-1,3049034,0,0,0
3149035,4,-1,3149034,0,0,0
3149140,5,-1,3149034,240572,240484,0
3149223,6,-1,3149034,1,0,0
3149327,7,-1,3149034,240572,240484,0
3149426,8,-1,3149034,0,0,0
3149493,9,-1,3149034,1,0,0
3149577,11,-1,3149034,1,1,0
3149644,12,-1,3149034,0,0,0
3149732,13,-1,3149034,1,0,0
3149818,16,0,3149034,3749034,4749034,1599217
3149919,17,0,3149034,0,0,0
3149991,20,0,3149034,240512,240484,0
3249035,4,-1,3249034,0,0,0
3249136,5,-1,3249034,240512,240484,0
3249219,6,-1,3249034,1,0,0
3249325,7,-1,3249034,240512,240468,0
3249423,8,-1,3249034,0,0,0
3249490,2,0,3249,0,0,0
3249552,9,-1,3249034,0,1,0
3249620,12,-1,3249034,0,0,0
3349035,4,-1,3349034,0,0,0
3349140,5,-1,3349034,240512,240468,0
3349223,6,-1,3349034,1,0,0
3349327,7,-1,3349034,240512,240468,0
3349425,8,-1,3349034,0,0,0
3349493,2,0,3349,0,0,0
3349555,9,-1,3349034,0,1,0
3349622,12,-1,3349034,0,0,0
3449035,4,-1,3449034,0,0,0
3449140,5,-1,3449034,240512,240468,0
3449223,6,-1,3449034,1,0,0
3449327,7,-1,3449034,240512,240468,0
3449425,8,-1,3449034,0,0,0
3449493,2,0,3449,0,0,0
3449555,9,-1,3449034,0,1,0
3449622,12,-1,3449034,0,0,0
3549035,4,-1,3549034,0,0,0
3549140,5,-1,3549034,240512,240468,0
3549223,6,-1,3549034,1,0,0
3549327,7,-1,3549034,240520,240468,0
3549425,8,-1,3549034,0,0,0
3549493,2,0,3549,0,0,0
3549555,9,-1,3549034,0,1,0
3549622,12,-1,3549034,0,0,0
3649035,4,-1,3649034,0,0,0
3649140,5,-1,3649034,240520,240468,0
3649223,6,-1,3649034,1,0,0
3649327,7,-1,3649034,240512,240468,0
3649425,8,-1,3649034,0,0,0
3649493,2,0,3649,0,0,0
3649555,9,-1,3649034,0,1,0
3649622,12,-1,3649034,0,0,0
3749035,4,-1,3749034,0,0,0
3749148,5,-1,3749034,240512,240468,0
3749239,6,-1,3749034,1,0,0
3749351,7,-1,3749034,240512,240468,0
3749449,8,-1,3749034,0,0,0
3749517,2,0,3749,0,0,0
3749579,9,-1,3749034,0,1,0
3749646,12,-1,3749034,0,0,0
3749764,15,0,3149034,0,0,0
3749913,18,0,3149034,0,0,0
3753558,19,0,3149034,0,0,0
3754125,24,0,3149034,0,0,0
3754204,1,0,3149034,84696351,0,0
3754285,21,0,3149034,240512,240468,0
3754370,25,0,3149034,240512,240468,0
3754450,14,-1,3149034,0,0,0
3849035,4,-1,3849034,0,0,0
3849136,5,-1,3849034,240572,240468,0
3849235,6,-1,3849034,1,0,0
3849351,7,-1,3849034,240572,240468,0
3849456,8,-1,3849034,0,0,0
3849523,2,0,3849,0,0,0
3849585,9,-1,3849034,0,1,0
3849652,12,-1,3849034,0,0,0
3949035,4,-1,3949034,0,0,0
3949140,5,-1,3949034,240572,240468,0
3949227,6,-1,3949034,1,0,0
3949339,7,-1,3949034,240572,240468,0
3949437,8,-1,3949034,0,0,0
3949505,2,0,3949,0,0,0
3949567,9,-1,3949034,0,1,0
3949634,12,-1,3949034,0,0,0
4049035,4,-1,4049034,0,0,0
4049140,5,-1,4049034,240572,240468,0
4049227,6,-1,4049034,1,0,0
4049339,7,-1,4049034,240572,240468,0
4049437,8,-1,4049034,0,0,0
4049504,2,0,4049,0,0,0
4049566,9,-1,4049034,0,1,0
4049634,12,-1,4049034,0,0,0
4149035,4,-1,4149034,0,0,0
4149140,5,-1,4149034,240572,240468,0
4149228,6,-1,4149034,1,0,0
4149339,7,-1,4149034,240580,240468,0
4149435,8,-1,4149034,0,0,0
4149503,9,-1,4149034,1,0,0
4149587,11,-1,4149034,1,1,0
4149655,12,-1,4149034,0,0,0
4149739,13,-1,4149034,1,0,0
4149819,16,0,4149034,4749034,5749034,1599216
4149921,17,0,4149034,0,0,0
4149994,20,0,4149034,240528,240468,0
4249035,4,-1,4249034,0,0,0
4249140,5,-1,4249034,240528,240468,0
4249228,6,-1,4249034,1,0,0
4249341,7,-1,4249034,240528,240468,0
4249437,8,-1,4249034,0,0,0
4249505,2,0,4249,0,0,0
4249567,9,-1,4249034,0,1,0
4249635,12,-1,4249034,0,0,0
4349035,4,-1,4349034,0,0,0
4349140,5,-1,4349034,240528,240468,0
4349228,6,-1,4349034,1,0,0
4349339,7,-1,4349034,240528,240468,0
4349436,8,-1,4349034,0,0,0
4349504,2,0,4349,0,0,0
4349566,9,-1,4349034,0,1,0
4349634,12,-1,4349034,0,0,0
4449035,4,-1,4449034,0,0,0
4449140,5,-1,4449034,240528,240468,0
4449228,6,-1,4449034,1,0,0
4449339,7,-1,4449034,240528,240468,0
4449436,8,-1,4449034,0,0,0
4449504,2,0,4449,0,0,0
4449566,9,-1,4449034,0,1,0
4449634,12,-1,4449034,0,0,0
4549035,4,-1,4549034,0,0,0
4549140,5,-1,4549034,240528,240468,0
4549232,6,-1,4549034,1,0,0
4549344,7,-1,4549034,240528,240468,0
4549441,8,-1,4549034,0,0,0
4549509,2,0,4549,0,0,0
4549571,9,-1,4549034,0,1,0
4549639,12,-1,4549034,0,0,0
4649035,4,-1,4649034,0,0,0
4649136,5,-1,4649034,240528,240468,0
4649220,6,-1,4649034,1,0,0
4649332,7,-1,4649034,240528,240468,0
4649430,8,-1,4649034,0,0,0
4649498,2,0,4649,0,0,0
4649561,9,-1,4649034,0,1,0
4649628,12,-1,4649034,0,0,0
4749035,4,-1,4749034,0,0,0
4749147,5,-1,4749034,240528,240468,0
4749230,6,-1,4749034,1,0,0
4749342,7,-1,4749034,240528,240468,0
4749441,8,-1,4749034,0,0,0
4749509,2,0,4749,0,0,0
4749571,9,-1,4749034,0,1,0
4749638,12,-1,4749034,0,0,0
4749756,15,0,4149034,0,0,0
4749905,18,0,4149034,0,0,0
4753531,19,0,4149034,0,0,0
4754099,24,0,4149034,0,0,0
4754171,1,0,4149034,84696351,0,0
4754252,21,0,4149034,240528,240468,0
4754338,25,0,4149034,240528,240468,0
4754418,14,-1,4149034,0,0,0
4849035,4,-1,4849034,0,0,0
4849136,5,-1,4849034,240580,240468,0
4849232,6,-1,4849034,1,0,0
4849348,7,-1,4849034,240572,240468,0
4849454,8,-1,4849034,0,0,0
4849522,2,0,4849,0,0,0
4849584,9,-1,4849034,0,1,0
